rack_type,rack_spaces,Comments,Latitude,Longitude,x,y
Lightning Bolt Rack,8,,38.54205514,-121.74808172,6633723.5227044225,1959324.7847520858
Lightning Bolt Rack,8,,38.54203237,-121.7480353,6633736.8222185075,1959316.5298473388
Lightning Bolt Rack,8,,38.5420511,-121.74796148,6633757.917976841,1959323.40909867
Lightning Bolt Rack,6,,38.53778505,-121.76045039,6630189.9733410925,1957760.143852502
Lightning Bolt Rack,8,,38.53787909,-121.76052972,6630167.192546755,1957794.3314481676
Varsity Rack,24,Varsity lock,38.54013097,-121.74716125,6633988.741990253,1958624.7759815007
Varsity Rack,8,Varsity lock ,38.54018212,-121.74741996,6633914.692597672,1958643.1965483427
Varsity Rack,8,Varsity lock ,38.53992775,-121.74734693,6633935.839865088,1958550.6193056703
Lightning Bolt Rack,15,,38.5398495,-121.74725241,6633962.954968333,1958522.1984307617
Lightning Bolt Rack,40,,38.5389031,-121.7590397,6630592.39838925,1958168.3822092563
Lightning Bolt Rack,5,,38.53801416,-121.75905564,6630588.69793734,1957844.6351533383
Lightning Bolt Rack,168,,38.53960341,-121.7479495,6633763.816259012,1958432.0227580816
Lightning Bolt Rack,9,3 spaces are no longer bolted to the ground; one space is bent 45 degrees,38.53779653,-121.75915919,6630559.288547337,1957765.3003382534
Lightning Bolt Rack,9,,38.5377489,-121.75917305,6630555.36992,1957747.9463703334
Lightning Bolt Rack,5,,38.53754641,-121.75914737,6630562.910587341,1957674.222436428
Playground Rack,6,,38.53940615,-121.74649446,6634180.197972178,1958361.3431094289
Low Rack,5,Sort of like a low rack. Also has a bent bar,38.53939963,-121.74650352,6634177.613659754,1958358.9602401704
Lightning Bolt Rack,35,,38.53912828,-121.74819304,6633694.637919679,1958258.7986950874
Lightning Bolt Rack,8,,38.53899618,-121.74809786,6633721.993508011,1958210.765982762
Coat Hanger Rack,38,,38.53890027,-121.74803825,6633739.142423838,1958175.8861312568
Lightning Bolt Rack,14,,38.53898444,-121.74893572,6633482.355207756,1958205.827672422
Lightning Bolt Rack,33,,38.53847772,-121.74878169,6633526.922047764,1958021.4136711657
Lightning Bolt Rack,5,,38.53831817,-121.74842072,6633630.331945926,1957963.5948891789
Lightning Bolt Rack,24,,38.54004957,-121.75159114,6632721.76584968,1958591.6385805905
